,Feeder Name,Feeder Head Node,Substation Name,Medium Voltage Length (miles),Three Phase Medium Voltage Length (miles),Three Phase Overhead Medium Voltage Length (miles),Two Phase Medium Voltage Length (miles),Two Phase Overhead Medium Voltage Length (miles),Single Phase Medium Voltage Length (miles),Single Phase Overhead Medium Voltage Length (miles),Overhead Percentage of Medium Voltage Line Miles,Ratio of Medium Voltage Lines to Number of Customers,Maximum Node Distance From Substation (miles),Nominal Voltage of Source (kV),Low Voltage Length (miles),Three Phase Low Voltage Length (miles),Three Phase Overhead Low Voltage Length (miles),Two Phase Low Voltage Length (miles),Two Phase Overhead Low Voltage Length (miles),Single Phase Low Voltage Length (miles),Single Phase Overhead Low Voltage Length (miles),Maximum Line Length From Transformer to Load (miles),Overhead Percentage of Low Voltage Line Miles,Ratio of Low Voltage Lines to Number of Customers,Number of Voltage Regulators,Number of Capacitors,Average Regulator Distance From Substation (miles),Average Capacitor Distance From Substation (miles),Number of Fuses,Number of Reclosers,Average Recloser Distance From Substation (miles),Number of Breakers,Number of Switches,Number of Lines Connected to Adjacent Feeder,Number of Closed Loops,Number of Transformers,Total Transformer Capacity (MVA),Number of Single Phase Transformers,Number of Three Phase Transformers,Ratio of Single Phase Transformers to Three Phase Transformers,Total Peak Planning Load (MW),Total Phase A Peak Planning Load (MW),Total Phase B Peak Planning Load (MW),Total Phase C Peak Planning Load (MW),Total Reactive Peak Planning Load (MVar),Percentage of Low Voltage Peak Planning Load on Phase A,Percentage of Low Voltage Peak Planning Load on Phase B,Percentage of Low Voltage Peak Planning Load on Phase C,Number of Single Phase Low Voltage Loads,Number of Three Phase Low Voltage Loads,Number of Medium Voltage Loads,Total Medium Voltage Peak Planning Load (MW),Average Number of Loads per Transformer,Average Peak Planning Load Power Factor,Average Peak Planning Load Imbalance by Phase,Total Number of Customers,Number of Customers per Square Mile of Feeder Convex Hull,Total Peak Planning Load (MW) per Square Mile of Feeder Convex Hull,Total Reactive Peak Planning Load (MVar) per Square Mile of Feeder Convex Hull,Total Transformer Capacity (MVA) per Square Mile of Feeder Convex Hull,Average Node Degree,Average Shortest Path Length,Diameter (Maximum Eccentricity),Number of PVs,Total PV Capacity (MW),Number of PVs with Volt-Var Control,Total Capacity of PVs with Volt-Var Control (MW),Number of PVs with Volt-Watt and Volt-Var Control,Total Capacity of PVs with Volt-Watt Volt-Var Control (MW),Number of Batteries,Total Capacity of Batteries (MW),Average Year of Building Construction,Average Land Value (USD per Square Foot),Percentage of Rural Customers,Percentage of Urban Customers,Percentage of Residential Customers,Percentage of Commercial Customers,Percentage of Industrial Customers,County,Line Configuration
0,p1uhs19_1247--p1udt14631,p1udt14631-p1uhs19_1247x,p1uhs19_1247,23.5787,11.7463,6.1967,0.0,0.0,11.8325,2.4481,18.4521,0.0161,2.7776,12.47,23.2712,0.5962,0.0,0.0,0.0,22.675,5.149,0.0855,10.9905,0.01590651426302121,0,2,,1.5886,63,0,,0,1100,1,0,758,34.175,696,62,11.2258,13.0327,4.266554097099998,4.3728227329000005,4.39332317,2.6699,32.7373,33.5527,33.71,1395,68,0,0.0,1.9301,0.9797,0.5375,1463.0,41886088946.8697,373128596.0319,76439247.2513,978439569213.4373,1.9996,121.8657,333,0,0.0,0,0.0,0,0.0,0,0.0,1980.0,340.2519917820645,0.0,100.0,97.5753,2.0818,0.342885,Travis,delta-wye
1,p1uhs0_1247--p1udt2142,p1udt2142-p1uhs0_1247x,p1uhs0_1247,17.9166,12.3766,10.5597,0.0,0.0,5.54,2.161,42.4691,0.0204,2.2689,12.47,12.0363,1.8597,0.0,0.0,0.0,10.1766,2.1985,0.0872,7.3397,0.0137087719557299,0,2,,1.6966,41,0,,0,355,4,0,390,32.5,258,132,1.9545,16.2477,5.4106790724,5.4136036584000005,5.423433516899999,3.3357,33.3012,33.3192,33.3797,702,174,2,2.8737,2.1106,0.9793,0.2111,878.0,31624719865.4373,585227695.0045,120149906.2714,1170618901624.955,1.9992,52.3965,143,0,0.0,0,0.0,0,0.0,0,0.0,1987.0,2968.272060698473,0.0,100.0,96.2763,3.05538,0.6683640000000001,Travis,delta-wye
2,p1uhs5_1247--p1udt19613,p1udt19613-p1uhs5_1247x,p1uhs5_1247,22.2909,10.7299,5.47,0.0,0.0,11.561,4.0032,19.9654,0.0137,2.7865,12.47,25.156999999999996,0.6279,0.0,0.0,0.0,24.5291,4.7721,0.0754,10.0577,0.015452677884701027,0,3,,1.5033,66,0,,0,918,3,0,653,37.975,602,51,11.8039,14.8994,5.0023841536,5.0396028548,4.8574129916,3.1065,33.5744,33.8242,32.6014,1570,58,0,0.0,2.4931,0.9794,0.5036,1628.0,55088583721.8452,504167723.3728,105117215.8417,1285005507885.1738,1.9996,129.7663,334,0,0.0,0,0.0,0,0.0,0,0.0,1982.0,385.50391604534536,0.0,100.0,98.367,0.864553,0.768492,Travis,delta-wye
3,p1uhs19_1247--p1udt17263,p1udt17263-p1uhs19_1247x,p1uhs19_1247,14.3899,3.7368,1.5998,0.0,0.0,10.6532,4.1137,18.0191,0.0142,3.1532,12.47,17.3181,0.0662,0.0,0.0,0.0,17.2519,2.9146,0.0732,9.1919,0.017112767556194956,0,1,,1.8549,33,0,,0,601,0,0,379,17.585,376,3,125.3333,7.0243,2.3766508321,2.3303325979,2.31731657,1.4276,33.8347,33.1753,32.99,1009,3,0,0.0,2.6702,0.9798,0.6571,1012.0,29715257527.5034,206253541.0125,41919370.8724,516346643894.4136,1.9993,121.4545,309,0,0.0,0,0.0,0,0.0,0,0.0,1989.0,190.41287431470192,0.0,100.0,98.2192,1.46119,0.319635,Travis,delta-wye
4,p1uhs5_1247--p1udt13240,p1udt13240-p1uhs5_1247x,p1uhs5_1247,20.6647,6.9176,3.1877,0.0,0.0,13.7471,6.6045,20.5791,0.0133,2.5454,12.47,26.9187,0.0165,0.0,0.0,0.0,26.9022,9.9169,0.0789,20.8412,0.017333353330594936,0,1,,1.5202,69,0,,0,811,0,0,688,28.025,686,2,343.0,12.261,4.0974422850000005,4.015526543999998,4.148043432,2.5043,33.4185,32.7504,33.8312,1550,2,1,1.4189,2.254,0.9799,0.5820000000000001,1553.0,48887327830.5309,385967444.7904,78832356.9044,882206930103.423,1.9995,117.47399999999999,340,0,0.0,0,0.0,0,0.0,0,0.0,1991.0,203.70021821777928,0.0,100.0,99.7415,0.0861574,0.172315,Travis,delta-wye
5,p1uhs10_1247--p1udt20878,p1udt20878-p1uhs10_1247x,p1uhs10_1247,8.3604,4.2618,2.7226,0.0,0.0,4.0986,1.7772,24.3894,0.012,2.7713,12.47,10.0896,0.3046,0.0,0.0,0.0,9.785,2.0311,0.0832,11.0089,0.014496536166707213,0,1,,2.4871,29,0,,0,292,2,0,223,12.775,187,36,5.1944,7.6986,2.5615551780000003,2.5595612406,2.57749128,1.5711,33.273,33.2471,33.48,654,40,2,2.3743,3.1071,0.9797,0.35100000000000003,696.0,31131067564.2756,344345530.9026,70272198.2098,571407166858.6517,1.9989,78.6841,183,0,0.0,0,0.0,0,0.0,0,0.0,1990.0,788.9851050940108,0.0,100.0,99.0012,0.52879,0.470035,Travis,delta-wye
6,p1uhs10_1247--p1udt14394,p1udt14394-p1uhs10_1247x,p1uhs10_1247,10.5535,7.1175,6.011,0.0,0.0,3.4360000000000004,0.608,34.8367,0.0175,3.1051,12.47,8.4465,0.3471,0.0,0.0,0.0,8.0994,1.5126,0.0765,7.9609,0.01400747670971577,0,1,,2.575,16,0,,0,268,0,0,218,13.975,172,46,3.7391,5.5366,1.8112377874,1.907247968,1.818108708,1.1517,32.7139,34.448,32.838,553,50,0,0.0,2.7661,0.9790000000000001,0.4159,603.0,22058623729.6564,202538242.1141,42130254.5957,511225981130.9258,1.9987,55.4709,136,0,0.0,0,0.0,0,0.0,0,0.0,1988.0,2292.322450846806,0.0,100.0,96.8354,1.7580900000000002,1.40647,Travis,delta-wye
7,p1uhs5_1247--p1udt21449,p1udt21449-p1uhs5_1247x,p1uhs5_1247,10.955,4.0764,1.4055,0.0,0.0,6.8786,1.1593,9.5938,0.0114,1.6795,12.47,15.7786,0.1169,0.0,0.0,0.0,15.6617,2.06,0.0689,7.7056,0.01643606989086013,0,1,,1.2733,32,0,,0,545,1,0,345,16.675,334,11,30.3636,6.667999999999999,2.220590696,2.2236846480000003,2.2237246560000004,1.3671,33.3022,33.3486,33.3492,948,12,0,0.0,2.7826,0.9799,0.6097,960.0,48052559242.5712,333763891.6026,68428835.30399999,834662943093.6204,1.9993,97.85,256,0,0.0,0,0.0,0,0.0,0,0.0,1983.0,178.33169949729066,0.0,100.0,99.0925,0.737379,0.170164,Travis,delta-wye
8,p1uhs10_1247--p1udt12591,p1udt12591-p1uhs10_1247x,p1uhs10_1247,9.9428,8.787,7.6605,0.0,0.0,1.1558,0.1864,57.2081,0.0385,2.0025,12.47,3.7738,0.9833,0.0,0.0,0.0,2.7905,0.3255,0.0906,2.3732,0.014627027483783563,0,4,,1.4598,12,0,,0,143,0,0,157,18.0,92,65,1.4154,11.9299,4.0267707264,3.944621435,3.9585078386,2.6843,33.7536,33.065,33.1814,173,81,4,5.121,1.6329,0.9791,0.0681,258.0,12712948279.9413,587845475.8449,132268149.5937,886949879995.902,1.9976,38.5541,101,0,0.0,0,0.0,0,0.0,0,0.0,1990.0,1611.1614869604043,0.0,100.0,95.1456,4.20712,0.647249,Travis,delta-wye
9,p1uhs3_1247--p1udt13260,p1udt13260-p1uhs3_1247x,p1uhs3_1247,18.8807,9.011000000000001,6.0869,0.0,0.0,9.8697,2.4521,23.7833,0.018000000000000002,1.7996,12.47,17.0227,0.7829,0.0,0.0,0.0,16.2398,2.4801,0.0765,6.9076,0.01619667999877325,0,3,,1.0169,60,0,,0,739,2,0,523,27.0,474,49,9.6735,12.3092,4.083823284,4.0890054572,4.1363712588000014,2.5917,33.177,33.2191,33.6039,986,63,2,2.0973,2.0057,0.9795,0.3686,1051.0,38840149093.6612,454890215.0953,95775866.2648,997796408685.8665,1.9994,113.8338,269,0,0.0,0,0.0,0,0.0,0,0.0,1982.0,300.08624498705456,0.0,100.0,97.383,1.98255,0.634417,Travis,delta-wye
