Loading (p.u.),Name,Bus1,Bus2,
1.0006664710330426,Line.l(r:p3udt13497-p3udt7313),p3udt13497-p3udt7313x.1.2.3,p3udt13497-p3udt7313xx.1.2.3,
1.0012537207339993,Line.padswitch(r:p3udt17358-p3udt3822)p3u_178014,p3udt3822.1.2.3,p3udt17358-p3udt3822xx.1.2.3,
1.001253723130788,Line.l(r:p3udt17358-p3udt3822),p3udt17358-p3udt3822xx.1.2.3,p3udt17358-p3udt3822x.1.2.3,
1.0013611271290508,Line.padswitch(r:p5udt22335-p5udt8239)p5u_135003,p5udt22335-p5udt8239xx.1.2.3,p5udt8239.1.2.3,
1.001361129316951,Line.padswitch(r:p5udt8239-p5udt8761)p5u_135000,p5udt8239.1.2.3,p5udt8239-p5udt8761x.1.2.3,
1.0015209168494965,Line.sb2_p1uhs18_1247_362,sb2_p1uhs18_1247_bus_2_2.1.2.3,sb2_p1uhs18_1247_node_2_11.1.2.3,
1.0017205436393841,Line.padswitch(r:p5udt1820-p5udt928)p5u_117353,p5udt928.1.2.3,p5udt1820-p5udt928xx.1.2.3,
1.0024767023734833,Line.l(r:p1udt20099-p1uhs22_1247),p1udt20099-p1uhs22_1247x.1.2.3,p1udt20099.1.2.3,
1.002490687114623,Line.padswitch(r:p1udt20099-p1udt7408)p1u_264578,p1udt20099.1.2.3,p1udt20099-p1udt7408x.1.2.3,
1.0024906882059683,Line.l(r:p1udt20099-p1udt7408),p1udt20099-p1udt7408x.1.2.3,p1udt20099-p1udt7408xx.1.2.3,
1.0030904711053004,Line.sb10_p1uhs20_1247_313,sb10_p1uhs20_1247_bus_10_7.1.2.3,p1udt2578-p1uhs20_1247x.1.2.3,
1.0032946838075993,Line.padswitch(r:p1udt3543-p1udt6045)p1u_264508,p1udt6045.1.2.3,p1udt3543-p1udt6045xx.1.2.3,
1.003294684900151,Line.l(r:p1udt3543-p1udt6045),p1udt3543-p1udt6045xx.1.2.3,p1udt3543-p1udt6045x.1.2.3,
1.0033077705003155,Line.l(r:p1udt3543-p1udt5042),p1udt3543-p1udt5042x.1.2.3,p1udt3543-p1udt5042xx.1.2.3,
1.0033206472620844,Line.l(r:p1udt24310-p1udt5042),p1udt24310-p1udt5042xx.1.2.3,p1udt24310-p1udt5042x.1.2.3,
1.0033291889973812,Line.padswitch(r:p1udt24310-p1udt5042)p1u_264505,p1udt24310-p1udt5042x.1.2.3,p1udt24310.1.2.3,
1.0033291900656238,Line.padswitch(r:p1udt23075-p1udt24310)p1u_264502,p1udt24310.1.2.3,p1udt23075-p1udt24310xx.1.2.3,
1.0033291911356403,Line.l(r:p1udt23075-p1udt24310),p1udt23075-p1udt24310xx.1.2.3,p1udt23075-p1udt24310x.1.2.3,
1.0033334489565116,Line.padswitch(r:p1udt23075-p1udt24310)p1u_264503,p1udt23075-p1udt24310x.1.2.3,p1udt23075.1.2.3,
1.003552774243652,Line.padswitch(r:p3udt11693-p3udt3438)p3u_192095,p3udt11693.1.2.3,p3udt11693-p3udt3438x.1.2.3,
1.0036155525214003,Line.padswitch(r:p1udt13868-p1udt17325)p1u_235741,p1udt13868.1.2.3,p1udt13868-p1udt17325x.1.2.3,
1.003825054232507,Line.padswitch(r:p1udt6304-p1udt927)p1u_233619,p1udt6304.1.2.3,p1udt6304-p1udt927x.1.2.3,
1.003825057075973,Line.l(r:p1udt6304-p1udt927),p1udt6304-p1udt927x.1.2.3,p1udt6304-p1udt927xx.1.2.3,
1.0038461435151123,Line.padswitch(r:p1udt15270-p1udt927)p1u_233617,p1udt927.1.2.3,p1udt15270-p1udt927xx.1.2.3,
1.0038461463687804,Line.l(r:p1udt15270-p1udt927),p1udt15270-p1udt927xx.1.2.3,p1udt15270-p1udt927x.1.2.3,
1.004289180493589,Line.l(r:p5udm6902-p5udt1877lv),p5udt1877lv.1.2,p5udm6902.1.2,
1.004379207456472,Line.l(r:p1udt6910-p1uhs18_1247),p1udt6910-p1uhs18_1247x.1.2.3,p1udt6910.1.2.3,
1.004482844226776,Line.sb8_p5uhs2_1247_402,sb8_p5uhs2_1247_node_8_4.1.2.3,sb8_p5uhs2_1247_bus_8_1.1.2.3,
1.0044828977269313,Line.padswitch(r:p1udt14057-p1udt6910)p1u_256068,p1udt6910.1.2.3,p1udt14057-p1udt6910xx.1.2.3,
1.0044828999489361,Line.l(r:p1udt14057-p1udt6910),p1udt14057-p1udt6910xx.1.2.3,p1udt14057-p1udt6910x.1.2.3,
1.0044932399359237,Line.padswitch(r:p1udt14057-p1udt6910)p1u_256069,p1udt14057-p1udt6910x.1.2.3,p1udt14057.1.2.3,
1.0044932421474304,Line.padswitch(r:p1udt10088-p1udt14057)p1u_256066,p1udt14057.1.2.3,p1udt10088-p1udt14057xx.1.2.3,
1.0044932443631571,Line.l(r:p1udt10088-p1udt14057),p1udt10088-p1udt14057xx.1.2.3,p1udt10088-p1udt14057x.1.2.3,
1.004513888544697,Line.padswitch(r:p1udt10088-p1udt14057)p1u_256067,p1udt10088-p1udt14057x.1.2.3,p1udt10088.1.2.3,
1.004513890757407,Line.padswitch(r:p1udt10088-p1udt5998)p1u_256064,p1udt10088.1.2.3,p1udt10088-p1udt5998x.1.2.3,
1.0045138929652926,Line.l(r:p1udt10088-p1udt5998),p1udt10088-p1udt5998x.1.2.3,p1udt10088-p1udt5998xx.1.2.3,
1.0045396488509806,Line.padswitch(r:p1udt10088-p1udt5998)p1u_256065,p1udt10088-p1udt5998xx.1.2.3,p1udt5998.1.2.3,
1.004539651057956,Line.padswitch(r:p1udt5998-p1udt7759)p1u_256060,p1udt5998.1.2.3,p1udt5998-p1udt7759x.1.2.3,
1.004539653264701,Line.l(r:p1udt5998-p1udt7759),p1udt5998-p1udt7759x.1.2.3,p1udt5998-p1udt7759xx.1.2.3,
1.0045550811082147,Line.padswitch(r:p1udt5998-p1udt7759)p1u_256061,p1udt5998-p1udt7759xx.1.2.3,p1udt7759.1.2.3,
1.0045550855132885,Line.l(r:p1udt7759-p1udt8171),p1udt7759-p1udt8171x.1.2.3,p1udt7759-p1udt8171xx.1.2.3,
1.0045754626293018,Line.l(r:p1udt17021-p1udt8171),p1udt17021-p1udt8171xx.1.2.3,p1udt17021-p1udt8171x.1.2.3,
1.0045956439777999,Line.l(r:p1udt17021-p1udt17235),p1udt17021-p1udt17235x.1.2.3,p1udt17021-p1udt17235xx.1.2.3,
1.0046107532385444,Line.padswitch(r:p1udt17021-p1udt17235)p1u_256055,p1udt17021-p1udt17235xx.1.2.3,p1udt17235.1.2.3,
1.0046107554209815,Line.padswitch(r:p1udt10455-p1udt17235)p1u_256052,p1udt17235.1.2.3,p1udt10455-p1udt17235xx.1.2.3,
1.0046107576125332,Line.l(r:p1udt10455-p1udt17235),p1udt10455-p1udt17235xx.1.2.3,p1udt10455-p1udt17235x.1.2.3,
1.0046570334423912,Line.padswitch(r:p1udt24764-p1udt9499)p1u_244794,p1udt9499.1.2.3,p1udt24764-p1udt9499xx.1.2.3,
1.0048525815435077,Line.padswitch(r:p3udt11095-p3udt24288)p3u_178976,p3udt11095-p3udt24288x.1.2.3,p3udt11095.1.2.3,
1.0055653850105999,Line.padswitch(r:p5udt5291-p5udt928)p5u_117356,p5udt5291-p5udt928xx.1.2.3,p5udt928.1.2.3,
1.0058239792849235,Line.sb2_p3uhs20_1247_362,sb2_p3uhs20_1247_bus_2_2.1.2.3,sb2_p3uhs20_1247_node_2_11.1.2.3,
1.0059436793822263,Line.sb2_p5uhs4_1247_68,sb2_p5uhs4_1247_bus_2_5.1.2.3,p5udt4324-p5uhs4_1247x.1.2.3,
1.0061986707384143,Line.l(r:p5udt10255-p5udt26885),p5udt10255-p5udt26885xx.1.2.3,p5udt10255-p5udt26885x.1.2.3,
1.0062206767620858,Line.padswitch(r:p5udt10255-p5udt26885)p5u_135009,p5udt10255-p5udt26885x.1.2.3,p5udt10255.1.2.3,
1.0062641173317244,Line.padswitch(r:p5udt17681-p5udt31922)p5u_139853,p5udt31922.1.2.3,p5udt17681-p5udt31922xx.1.2.3,
1.0062641199112203,Line.l(r:p5udt17681-p5udt31922),p5udt17681-p5udt31922xx.1.2.3,p5udt17681-p5udt31922x.1.2.3,
1.006281559477723,Line.padswitch(r:p5udt17681-p5udt31922)p5u_139854,p5udt17681-p5udt31922x.1.2.3,p5udt17681.1.2.3,
1.0063784099327666,Line.padswitch(r:p1udt16518-p1udt23496)p1u_242229,p1udt16518.1.2.3,p1udt16518-p1udt23496x.1.2.3,
1.0063818274779706,Line.padswitch(r:p1udt10091-p1udt554)p1u_256024,p1udt554.1.2.3,p1udt10091-p1udt554xx.1.2.3,
1.0065286403593205,Line.l(r:p5udt1394-p5udt6525),p5udt1394.1.2.3,p5udt6525.1.2.3,
1.0066104579702315,Line.padswitch(r:p5udt11624-p5udt8133)p5u_136030,p5udt11624.1.2.3,p5udt11624-p5udt8133x.1.2.3,
1.0066298189834753,Line.padswitch(r:p5udt11624-p5udt8133)p5u_136031,p5udt11624-p5udt8133xx.1.2.3,p5udt8133.1.2.3,
1.0075958985981333,Line.breaker(r:p5uts0_69-st_mat)p5u_150997,p5uts0_69-st_matx.1.2.3,p5uts0_69.1.2.3,
