Loading (p.u.),Name,Bus and Phases,kVA,Number of Phases,
1.0011996173345314,Transformer.tr(r:p2udt7564-p2udt7564lv),p2udt7564.2,25.0,1,
1.0012807883454549,Transformer.tr(r:p3udt5124-p3udt5124lv),p3udt5124.3,25.0,1,
1.0026307816276188,Transformer.tr(r:p5udt10278-p5udt10278lv),p5udt10278.3,25.0,1,
1.0040127680085948,Transformer.tr(r:p5udt1644-p5udt1644lv),p5udt1644.3,50.0,1,
1.0046072461010012,Transformer.tr(r:p5udt2544-p5udt2544lv),p5udt2544.1,25.0,1,
1.0048749352206843,Transformer.tr(r:p5udt5518-p5udt5518lv),p5udt5518.3,25.0,1,
1.0060272903773912,Transformer.tr(r:p5udt25134-p5udt25134lv),p5udt25134.3,25.0,1,
1.008315813247124,Transformer.tr(r:p3udt26977-p3udt26977lv),p3udt26977.1,50.0,1,
1.0088618036434818,Transformer.tr(r:p1rdt4777-p1rdt4777lv),p1rdt4777.1,25.0,1,
1.0090381906929513,Transformer.tr(r:p2udt6814-p2udt6814lv),p2udt6814.1,25.0,1,
1.0105498232405956,Transformer.sb2_p5uhs8_1247_trans_51,sb2_p5uhs8_1247_node_2_10,40000.0,3,
1.011116469783919,Transformer.tr(r:p5udt29033-p5udt29033lv),p5udt29033.3,25.0,1,
1.0125356570429018,Transformer.tr(r:p2udt5533-p2udt5533lv),p2udt5533.2,25.0,1,
1.0147283965071963,Transformer.tr(r:p1rdt8130-p1rdt8130lv),p1rdt8130.3,25.0,1,
1.0149253810842573,Transformer.tr(r:p1rdt3245-p1rdt3245lv),p1rdt3245.3,25.0,1,
1.0150458916132745,Transformer.tr(r:p2udt997-p2udt997lv),p2udt997.2,25.0,1,
1.016258015708338,Transformer.tr(r:p5udt30573-p5udt30573lv),p5udt30573.1,25.0,1,
1.0164656290569751,Transformer.tr(r:p3udt11-p3udt11lv),p3udt11.1,25.0,1,
1.0188275348533726,Transformer.tr(r:p1rdt5678-p1rdt5678lv),p1rdt5678.3,10.0,1,
1.0193868620595306,Transformer.tr(r:p5udt15402-p5udt15402lv),p5udt15402.1,25.0,1,
1.0195888736291907,Transformer.tr(r:p5udt23603-p5udt23603lv),p5udt23603.3,25.0,1,
1.0197614503609735,Transformer.tr(r:p3udt6625-p3udt6625lv),p3udt6625.2,75.0,1,
1.0199856168647532,Transformer.tr(r:p5udt19489-p5udt19489lv),p5udt19489.3,25.0,1,
1.0200810713875843,Transformer.tr(r:p1rdt3240-p1rdt3240lv),p1rdt3240.1,25.0,1,
1.0210297721691908,Transformer.tr(r:p1rdt4302-p1rdt4302lv),p1rdt4302.2,25.0,1,
1.021760189086356,Transformer.tr(r:p1rdt451-p1rdt451lv),p1rdt451.2,25.0,1,
1.0218096260710392,Transformer.tr(r:p3udt25037-p3udt25037lv),p3udt25037.2,25.0,1,
1.0220979624103037,Transformer.tr(r:p5udt26342-p5udt26342lv),p5udt26342.2,25.0,1,
1.023078032363785,Transformer.sb10_p3uhs4_1247_trans_301,sb10_p3uhs4_1247_node_10_6,40000.0,3,
1.0250787728201602,Transformer.tr(r:p2udt5656-p2udt5656lv),p2udt5656.2,25.0,1,
1.0256531327478917,Transformer.tr(r:p2udt8707-p2udt8707lv),p2udt8707.1,25.0,1,
1.0258496221720486,Transformer.tr(r:p3udt11549-p3udt11549lv),p3udt11549.3,75.0,1,
1.0263515461577486,Transformer.tr(r:p1rdt6102-p1rdt6102lv),p1rdt6102.3,25.0,1,
1.026687888510732,Transformer.tr(r:p5udt22308-p5udt22308lv),p5udt22308.2,25.0,1,
1.0272881224703696,Transformer.tr(r:p1rdt8023-p1rdt8023lv),p1rdt8023.1,25.0,1,
1.030273533653113,Transformer.tr(r:p3udt25276-p3udt25276lv),p3udt25276.3,25.0,1,
1.030460343166095,Transformer.tr(r:p2udt7867-p2udt7867lv),p2udt7867.2,25.0,1,
1.03094032541999,Transformer.tr(r:p4udt455-p4udt455lv),p4udt455.1,25.0,1,
1.0321434116889185,Transformer.sb10_p5uhs21_1247_trans_301,sb10_p5uhs21_1247_node_10_6,40000.0,3,
1.0323822212929687,Transformer.tr(r:p1rdt2648-p1rdt2648lv),p1rdt2648.3,25.0,1,
1.0325993599942533,Transformer.tr(r:p4udt19494-p4udt19494lv),p4udt19494.3,10.0,1,
1.0327134763645387,Transformer.tr(r:p5udt13678-p5udt13678lv),p5udt13678.1,50.0,1,
1.0337279716838426,Transformer.tr(r:p5udt19558-p5udt19558lv),p5udt19558.2,25.0,1,
1.0338335378242698,Transformer.tr(r:p4udt10144-p4udt10144lv),p4udt10144.2,10.0,1,
1.0339847666924895,Transformer.tr(r:p1rdt3408-p1rdt3408lv),p1rdt3408.1,10.0,1,
1.0359312434660837,Transformer.tr(r:p5udt3008-p5udt3008lv),p5udt3008.1,25.0,1,
1.0359580995859463,Transformer.sb2_p3uhs6_1247_trans_51,sb2_p3uhs6_1247_node_2_10,40000.0,3,
1.0368498839166171,Transformer.tr(r:p5udt11293-p5udt11293lv),p5udt11293.2,50.0,1,
1.0370734320012254,Transformer.tr(r:p3udt1596-p3udt1596lv),p3udt1596.3,25.0,1,
1.0371496111757923,Transformer.tr(r:p1udt6850-p1udt6850lv),p1udt6850.2,25.0,1,
1.0373757277243953,Transformer.tr(r:p1rdt8001-p1rdt8001lv),p1rdt8001.3,25.0,1,
1.0376713198908332,Transformer.tr(r:p5udt11138-p5udt11138lv),p5udt11138.1,25.0,1,
1.044020554804373,Transformer.tr(r:p3udt2106-p3udt2106lv),p3udt2106.3,75.0,1,
1.0446539409584634,Transformer.tr(r:p1rdt1771-p1rdt1771lv),p1rdt1771.3,25.0,1,
1.044867957512334,Transformer.tr(r:p5udt21683-p5udt21683lv),p5udt21683.3,25.0,1,
1.0472204849965703,Transformer.tr(r:p1rdt3419-p1rdt3419lv),p1rdt3419.2,10.0,1,
